id;libellé;recommandé;niveau;wikipedia;note

Q13582798;EPST;oui;2;https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_scientifique_et_technologique;
Q3244038;EPCA;oui;2;https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_administratif_en_France;
Q3591583;EPIC;oui;2;https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_industriel_et_commercial_en_France;

Q61612084;PRES;oui;3;https://fr.wikipedia.org/wiki/Regroupement_universitaire;
Q15974764;COMUE;oui;3;https://fr.wikipedia.org/wiki/Communaut%C3%A9_d%27universit%C3%A9s_et_%C3%A9tablissements;
Q65963615;EPE;oui;3;https://fr.wikipedia.org/wiki/Regroupement_universitaire;
Q3412198;Regroupement universitaire;oui;3;https://fr.wikipedia.org/wiki/Regroupement_universitaire;Pour les autres regroupements
Q2822246;Académie;oui;3;https://fr.wikipedia.org/wiki/Acad%C3%A9mie_(%C3%A9ducation_en_France);

Q3551775;Université (EPSCP);oui;4;https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_scientifique,_culturel_et_professionnel;
Q1542938;Grand Établissement;oui;4;https://fr.wikipedia.org/wiki/Grand_%C3%A9tablissement;
Q3591586;EPSCP;oui;4;https://fr.wikipedia.org/wiki/%C3%89tablissement_public_%C3%A0_caract%C3%A8re_scientifique,_culturel_et_professionnel;
Q135436;École normale supérieure;oui;4;https://fr.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_(France);

Q1059324;CHU;oui;5;https://fr.wikipedia.org/wiki/Centre_hospitalier_universitaire;
Q3152659;IUT;oui;5;https://fr.wikipedia.org/wiki/Institut_universitaire_de_technologie;
Q1475041;IEP;oui;5;https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques;
Q3578562;ESPÉ;oui;5;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_du_professorat_et_de_l%27%C3%A9ducation;
Q184644;école supérieure de musique;oui;5;https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_musique;
Q1143635;école de commerce;oui;5;https://fr.wikipedia.org/wiki/%C3%89cole_de_commerce;
Q479716;presse universitaire;oui;5;;

Q3550864;UMR;oui;6;https://fr.wikipedia.org/wiki/Unit%C3%A9_mixte_de_recherche;
Q43371084;UPR;oui;6;https://fr.wikipedia.org/wiki/Centre_national_de_la_recherche_scientifique;
Q3550863;UMS;oui;6;https://fr.wikipedia.org/wiki/Unit%C3%A9_mixte_de_service;
Q43371093;FRE;oui;6;https://fr.wikipedia.org/wiki/Centre_national_de_la_recherche_scientifique;
Q3550804;UFR;oui;6;https://fr.wikipedia.org/wiki/Unit%C3%A9_de_formation_et_de_recherche;
Q13220391;école doctorale;oui;6;;
Q57314035;faculté de médecine;oui;6;;
Q1254933;observatoire astronomique;oui;6;;
Q180958;composante;oui;6;"https://fr.wikipedia.org/wiki/Universit%C3%A9_en_France#Composantes";A défaut de plus précis

Q1298668;projet de recherche;;7;;


Q2659904;organisation gouvernementale;non;2;;
Q327333;agence publique;non;2;;

Q43229;organisation;non;3;;
Q15911314;association;non;3;;
Q13226383;site;non;3;;

Q3578166;École nationale supérieure;non;4;;Confusion avec les ENS
Q15343039;établissement public;non;4;;
Q270791;entreprise d'État;non;4;;
Q902104;université privée;non;4;;
Q1371037;institut de technologie;non;4;https://fr.wikipedia.org/wiki/Institut_de_technologie;
Q1663017;école d'ingé;non;4;;
Q16917;hôpital;non;4;;Préférer CHU
Q2945655;CH;non;4;;Préférer CHU
Q3918;université;non;4;;
Q847027;Grande ecole;non;4;https://fr.wikipedia.org/wiki/Grande_%C3%A9cole;Réserver aux écoles non contemporaines
Q875538;université publique;non;4;;

Q2385804;institution éducative;non;5;;
Q189004;Collége;non;5;;
Q4287745;organisation de santé;non;5;;

Q3914;école;non;6;;
Q483242;laboratoire;non;6;;
Q31855;institut de recherche;non;6;;
Q1664720;institut;non;6;;
Q7315155;centre de recherche;non;6;;
Q4671277;institut universitaire;non;6;;
Q38723;institut d'enseignement supérieur;non;6;;
Q3356144;ODAC;non;6;;
Q28863779;centre de recherche;non;6;;


